Seat reserved: Seat{id=0, row=5, position=A, extraLegRoom=false, passengerName='Mihai Ionescu', flightId=7},2025-05-17 11:15:09
Aircraft added: Domain.Aircraft@1a677343,2025-05-22 19:22:37
Aircraft added: Domain.Aircraft@45c7e403,2025-05-22 19:22:59
Aircraft added: Domain.Aircraft@65e98b1c,2025-05-22 19:23:06
Flight removed from database: 5,2025-06-03 13:25:43
Flight removed from database: 6,2025-06-03 13:25:49
Flight removed from database: 1,2025-06-03 13:26:13
Flight removed from database: 2,2025-06-03 13:26:17
Flight added to database: Flight{flightNumber=0, departureAirportId=3, arrivalAirportId=4, departureDateTime=2025-06-21T10:00, arrivalDateTime=2025-06-21T16:00, aircraftId=4},2025-06-03 13:27:32
Seat reserved: Seat{id=0, row=4, position=A, extraLegRoom=false, passengerName='Mihnea Cucu', flightId=8},2025-06-03 13:27:54
Flight added to database: Flight{flightNumber=0, departureAirportId=5, arrivalAirportId=6, departureDateTime=2025-06-22T10:00, arrivalDateTime=2025-06-22T14:00, aircraftId=6},2025-06-03 13:29:30
Flight removed from database: 7,2025-06-03 13:31:14
Aircraft updated: Domain.Aircraft@139982de,2025-06-03 17:53:47
Seat reserved: Seat{id=0, row=2, position=A, extraLegRoom=false, passengerName='Mihnea Cucu', flightId=8},2025-06-03 18:17:19
Seat cancelled for passenger: Mihnea Cucu,2025-06-03 19:11:51
Seat reserved: Seat{id=0, row=5, position=A, extraLegRoom=false, passengerName='Mihnea Cucu', flightId=8},2025-06-03 19:12:55
